oportunidade;empresa;data_criacao;data_envio_proposta;data_fechada;data_ultima_modificacao;valor;fase_comercial;nova_venda;finalidade;origem;departamento;motivo_perdido;tipo_venda;erp;pagamento;produto;sku;quantidade;vendedor
961497;Empresa 3231;06/05/2022;09/05/2022;;31/05/2022;96225.84;Fechada e Perdida;NV - 0022513;Uso e consumo;;PCS;Cliente - Desistência da compra;Cotação;;Boleto;Notebook Samsung NP550XDA-KV1BR Intel Core i3-1115G4 4GB 1TB Tela 15;4133204040;36;Vendedor F
958277;Empresa 1091;27/04/2022;09/05/2022;;09/05/2022;79500;Fechada e Perdida;NV - 0022150;;;TABLETS;Cliente - Desistência da compra;Cotação;;;;0;;Vendedor K
958339;Empresa 3232;27/04/2022;09/05/2022;;09/05/2022;42565.8;Fechada e Perdida;NV - 0022160;Uso e consumo;;PCS;Cliente - Desistência da compra;Cotação;;Faturado;Notebook Lenovo Ultrafino ideapad S145 i7-1065G7 8GB (Placa de Vídeo Intel Iris Plus) 256GB SSD W10 15.6'' FHD Prata;1961678671;10;Vendedor K
962114;Empresa 3233;09/05/2022;09/05/2022;31/05/2022;31/05/2022;13930;Fechada e Perdida;NV - 0022587;Uso e consumo;;TABLETS;Cliente - Desistência da compra;Cotação;;Boleto;"Tablet Samsung Galaxy A8 64GB Wi-Fi Tela 10.5"" Android Octa-Core - Cinza";4638019018;10;Vendedor S
962068;Empresa 3234;09/05/2022;09/05/2022;16/05/2022;16/05/2022;25559.88;Fechada e Perdida;NV - 0022567;Uso e consumo;;PCS;Cliente - Desistência da compra;Cotação;;Boleto;Computador Completo Intel Core i5 8GB ssd 240GB Monitor LED 19.5 hdmi CorPC Fast;213897042;12;Vendedor S
965591;Empresa 3235;22/06/2022;09/05/2022;;22/06/2022;256549;Cotando;NV - 0024349;Uso e consumo;;;;Cotação;;Faturado;Smartphone Samsung Galaxy M52 5G 128GB 5G Wi-Fi Tela 6.7'' Dual Chip 6GB RAM Câmera Tripla + Selfie 32MP - Preto;4455139640;151;Vendedor O
957597;Empresa 234;25/04/2022;09/05/2022;;09/05/2022;16550;Fechada e Perdida;NV - 0022050;;;"BELEZA & SAUDE; ELETRONICOS (TVs); TELEFONIA";Cliente - Desistência da compra;Cotação;;;;0;;Vendedor K
957320;Empresa 93;25/04/2022;09/05/2022;;09/05/2022;2100;Fechada e Perdida;NV - 0022020;;;INFORMÁTICA E ACESSÓRIOS;Cliente - Prazo de envio;Cotação;;;;0;;Vendedor K
959926;Empresa 2913;02/05/2022;09/05/2022;;23/05/2022;40336.5;Fechada e Perdida;NV - 0022341;Uso e consumo;;TELEFONIA;Cliente - Desistência da compra;Cotação;;;;0;;Vendedor F
961646;Empresa 97;06/05/2022;09/05/2022;;14/06/2022;5500;Fechada e Perdida;NV - 0022529;Uso e consumo;;INFORMÁTICA E ACESSÓRIOS;Cliente - Desistência da compra;Cotação;;;Retroprojetor;0;1;Vendedor C
961654;Empresa 3181;06/05/2022;09/05/2022;;31/05/2022;11280;Fechada e Perdida;NV - 0022531;Uso e consumo;;PAPELARIA;Cliente - Desistência da compra;Cotação;;Cartão de Crédito;Papel Chamex A4 75g Pacote 500 folhas;5425393;600;Vendedor C
961680;Empresa 163;06/05/2022;09/05/2022;;14/06/2022;6500;Fechada e Perdida;NV - 0022534;Uso e consumo;;MÓVEIS - ESCRITÓRIO;Cliente - Desistência da compra;Cotação;;;Cadeira Secretária;0;12;Vendedor C
961667;Empresa 3236;06/05/2022;09/05/2022;;09/05/2022;2184.99;Fechada e Perdida;NV - 0022533;Uso e consumo;;ELETRODOMESTICOS;;Cotação;;;Geladeira Consul Cycle Defrost Duplex CRD37EB 334 litros com Freezer Supercapacidade Branca - 220V;110267814;1;Vendedor K
962113;Empresa 3237;09/05/2022;09/05/2022;16/05/2022;16/05/2022;25199.9;Fechada e Perdida;NV - 0022586;Uso e consumo;;PC GAMER;Cliente - Desistência da compra;Cotação;;Boleto;Pc Gamer Completo amd 6-Core cpu 3.8Ghz 8GB (Placa de vídeo Radeon R5 2GB) ssd 120GB Kit Gamer Skill Monitor hdmi LED 19.5;2448929441;10;Vendedor S
961701;Empresa 729;06/05/2022;09/05/2022;24/05/2022;24/05/2022;3119.99;Fechada e Perdida;NV - 0022538;Uso e consumo;;INFORMÁTICA E ACESSÓRIOS;Cliente - Desistência da compra;Cotação;;;Fragmentadora Rexel® Auto+ 150x;4769505446;1;Vendedor K
962110;Empresa 3238;09/05/2022;09/05/2022;16/05/2022;16/05/2022;23072;Fechada e Perdida;NV - 0022584;Uso e consumo;;CLIMATIZAÇÃO;Cliente - Desistência da compra;Cotação;;Boleto;Ar Condicionado Split Electrolux 12000 BTUs Ecoturbo VI12F/VE12F - 220v;2574584703;14;Vendedor S
962037;Empresa 163;09/05/2022;09/05/2022;12/05/2022;12/05/2022;8759.96;Projeto em andamento;NV - 0022554;Uso e consumo;;ELETRONICOS (TVs);;Cotação;;;Smart TV LED 43” LG 43UP7500 4K UHD Wi-Fi Bluetooth HDR ThinQAI Compat.;3280455594;4;Vendedor K
962108;Empresa 3237;09/05/2022;09/05/2022;16/05/2022;16/05/2022;13890;Fechada e Perdida;NV - 0022582;Uso e consumo;;TELEFONIA;Cliente - Desistência da compra;Cotação;;Boleto;Smartphone Motorola Moto G20 128GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 13MP - Azul;3805072757;10;Vendedor S
961568;Empresa 2361;06/05/2022;09/05/2022;;09/05/2022;664.05;Fechada e Perdida;NV - 0022517;Uso e consumo;;TELEFONIA;;Cotação;;;Smartphone Samsung Galaxy A03 Core 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 2GB RAM Câmera 8MP + Selfie 5MP - Preto;4342102672;1;Vendedor K
961601;Empresa 2675;06/05/2022;09/05/2022;19/05/2022;19/05/2022;2184.99;Projeto em andamento;NV - 0022522;Uso e consumo;;ELETRODOMESTICOS;;Cotação;;Faturado;Geladeira Consul Cycle Defrost Duplex CRD37EB 334 litros;110267831;1;Vendedor C
961637;Empresa 115;06/05/2022;09/05/2022;17/05/2022;17/05/2022;75924;Fechada e Perdida;NV - 0022527;Uso e consumo;;TELEFONIA;Cliente - Preço;Cotação;;;Smartphone Motorola Moto E7 Dual ChipAndroid 10 Tela 6.5” 64GB Câmera 48MP;2945004115;80;Vendedor K
958711;Empresa 115;28/04/2022;09/05/2022;;16/05/2022;800;Fechada e Perdida;NV - 0022203;Uso e consumo;;ELETROPORTÁTEIS;Cliente - Desistência da compra;Cotação;;Faturado;;0;;Vendedor K
959008;Empresa 569;28/04/2022;09/05/2022;16/05/2022;16/05/2022;15199.92;Fechada e Perdida;NV - 0022562;Uso e consumo;;CLIMATIZAÇÃO;Cliente - Desistência da compra;Cotação;;Faturado;Ar Condicionado Split Inverter Philco 12000 BTUs PAC12000ITFM9W - 220v;2386948477;8;Vendedor K
959008;Empresa 569;28/04/2022;09/05/2022;16/05/2022;16/05/2022;3299.99;Fechada e Perdida;NV - 0022256;Uso e consumo;;CLIMATIZAÇÃO;Cliente - Desistência da compra;Cotação;;Faturado;Ar Condicionado Split Inverter Samsung 18000 BTUs WindFree Quente/Frio...;2407778068;1;Vendedor K
962000;Empresa 3239;09/05/2022;09/05/2022;05/05/2022;02/08/2022;4750;Fechada e Ganha;NV - 0022551;Uso e consumo;;VALE PRESENTE;;Cotação;;;COMPRA DE VALE PRESENTE;0;95;Vendedor R
962048;Empresa 3240;09/05/2022;09/05/2022;;14/06/2022;7556;Fechada e Perdida;NV - 0022560;Revenda;;TELEFONIA;;Cotação;;;4  Smartphone Samsung Galaxy S20 Fe 128GB 4G Wi-Fi Tela 6.5'' Dual Chip 6GB RAM Câmera Tripla + Selfie 32MP - Cloud Navy;3234381205;4;Vendedor R
956235;Empresa 739;20/04/2022;09/05/2022;;09/05/2022;4890;Fechada e Perdida;NV - 0021961;;;INFORMÁTICA E ACESSÓRIOS;Cliente - Prazo de envio;Cotação;;;;0;;Vendedor K
963885;Empresa 1232;27/05/2022;09/05/2022;27/05/2022;27/05/2022;264600;Projeto em andamento;NV - 0023419;Revenda;;PCS;;Cotação;;Boleto;Office 365 - Personal;4648564116;3528;Vendedor G
955127;Empresa 3241;18/04/2022;09/05/2022;;09/05/2022;22184.89;Fechada e Perdida;NV - 0021790;Uso e consumo;;ELETRODOMESTICOS;Cliente - Desistência da compra;Cotação;;Boleto;Geladeira Consul Cycle Defrost Duplex CRD37EB 334 litros com Freezer Supercapacidade Branca - 220V;110267831;10;Vendedor K
