Oportunidade;Empresa;Data_criacao;Data_envio_proposta;Data_fechada;Data_última_modificação;Valor;Fase_Comercial;Nova_Venda;Finalidade;Origem;Departamento;Motivo_perdido;Tipo_venda;ERP;Pagamento;Produto;SKU;Quantidade;Vendedor
991412;EMPRESA 5483;08/02/2023;08/02/2023;24/02/2023;24/02/2023;14507,58;Fechada e Perdida;NV - 0031967;Uso e consumo;Caixa Off;MÓVEIS - ESCRITÓRIO;Cliente - Desistência da compra;Cotação;;Boleto;Cadeira De Escritorio Com Base Cromada Prizi Venice - Preta;4301108701;44;VENDEDOR S
991099;EMPRESA 5484;06/02/2023;08/02/2023;28/02/2023;28/02/2023;13920,42;Fechada e Perdida;NV - 0031890;Uso e consumo;Caixa Off;CLIMATIZAÇÃO;Cliente - Desistência da compra;Cotação;;Boleto;ar condicionado;;;VENDEDOR F
991408;EMPRESA 5485;08/02/2023;08/02/2023;;08/02/2023;12282,42;Cotando;NV - 0031966;Uso e consumo;Caixa On;INFORMÁTICA E ACESSÓRIOS;;Cotação;;Boleto;Webcam Vídeo Conferência Intelbras USB CAM-720P Microfone Embutido Preto;4652302389;100;VENDEDOR K
991228;EMPRESA 5047;07/02/2023;09/02/2023;;02/03/2023;6500;Fechada e Perdida;NV - 0031940;Uso e consumo;Caixa Off;ELETRODOMESTICOS;Cliente - Desistência da compra;Cotação;;Faturado;Micro-ondas electrolux 34litros - branco;;7;VENDEDOR E
991539;EMPRESA 3044;09/02/2023;09/02/2023;;27/02/2023;3534,97;Fechada e Perdida;NV - 0031991;Uso e consumo;Caixa Off;INFORMÁTICA E ACESSÓRIOS;Cliente - Desistência da compra;Cotação;;Boleto;"Monitor LED 19.5/Monitor Gamer Samsung 22"" IPS 75/Dock Station Elgato Thunderbolt 3 Mini";;3;VENDEDOR E
991535;EMPRESA 3212;09/02/2023;09/02/2023;28/02/2023;28/02/2023;9949,95;Fechada e Perdida;NV - 0031989;Uso e consumo;Caixa Off;TELEFONIA;Cliente - Estoque - falta de produto;Cotação;;Boleto;Smartphone Samsung Galaxy M53 5G 128GB 5G Wi-Fi Tela 6.7'' Dual Chip 8;5396419536;5;VENDEDOR K
991317;EMPRESA 2303;07/02/2023;09/02/2023;;03/03/2023;300;Fechada e Perdida;NV - 0031955;Uso e consumo;Caixa Off;ELETROPORTÁTEIS;B2W - Limite de Crédito;Cotação;;Faturado;cafeteiras;;;VENDEDOR L
991450;EMPRESA 4067;08/02/2023;09/02/2023;14/02/2023;14/02/2023;14399;Fechada e Perdida;NV - 0031972;Uso e consumo;Caixa Off;TELEFONIA;B2W - Estoque (Perda de estoque);Cotação;;Boleto;Motorola Defy;;;VENDEDOR F
991308;EMPRESA 3491;07/02/2023;09/02/2023;;13/02/2023;6050;Fechada e Perdida;NV - 0031951;Uso e consumo;Caixa Off;AUDIO;B2W - Estoque (Falta de produto);Cotação;;Boleto;Rádio Relógio Despertador Caixa Som Bluetooth Fm Digital;;50;VENDEDOR E
991329;EMPRESA 3825;07/02/2023;09/02/2023;;03/03/2023;7800;Fechada e Perdida;NV - 0031958;Uso e consumo;Caixa Off;TELEFONIA;B2W - Limite de Crédito;Cotação;;Faturado;fone / cel positivo trwist pro;;;VENDEDOR L
991163;EMPRESA 5486;06/02/2023;09/02/2023;;03/03/2023;450;Fechada e Perdida;NV - 0031921;Uso e consumo;Caixa Off;CLIMATIZAÇÃO;Cliente - Não informado / sem retorno;Cotação;;Faturado;ventilador coluna;;1;VENDEDOR L
991547;EMPRESA 4959;09/02/2023;09/02/2023;09/02/2023;09/02/2023;1231,12;Fechada e Ganha;NV - 0031995;;Caixa Off;AUDIO;;Catálogo;Nimbi;Faturado;09-995617685;;;VENDEDOR O
991486;EMPRESA 5487;08/02/2023;09/02/2023;;08/02/2023;700;Cotando;NV - 0031979;Uso e consumo;Caixa Off;ELETRODOMESTICOS;;Cotação;;Faturado;Cooktop à Gás Continental KC5GP 5 Bocas e Mesa em Vidro Temperado - Bivolt;1661425102;1;VENDEDOR I
991498;EMPRESA 5488;08/02/2023;09/02/2023;;27/02/2023;20000;Fechada e Perdida;NV - 0031985;Uso e consumo;Caixa Off;TABLETS;Cliente - Não informado / sem retorno;Cotação;;Boleto;tablet tela 10;;;VENDEDOR L
991496;EMPRESA 5489;08/02/2023;09/02/2023;;13/02/2023;8168,04;Fechada e Perdida;NV - 0031984;Uso e consumo;Caixa Off;INFORMÁTICA E ACESSÓRIOS;Cliente - Desistência da compra;Cotação;;Boleto;HD Externo Portáti/Cadeira de Escritório/Smartphone Samsun;;6;VENDEDOR E
991489;EMPRESA 5487;08/02/2023;09/02/2023;;08/02/2023;3110;Cotando;NV - 0031981;Uso e consumo;Caixa Off;ELETRODOMESTICOS;;Cotação;;Faturado;Geladeira/Refrigerador Electrolux Duplex DFN41 Frost Free 371L Branca - 220v;1808805784;1;VENDEDOR I
991484;EMPRESA 5490;08/02/2023;09/02/2023;28/02/2023;28/02/2023;1678,9;Fechada e Perdida;NV - 0031978;Uso e consumo;Caixa Off;ELETRONICOS (TVs);Cliente - Desistência da compra;Cotação;;Boleto;Smart TV;;;VENDEDOR F
991491;EMPRESA 5491;08/02/2023;09/02/2023;02/03/2023;02/03/2023;1249;Fechada e Perdida;NV - 0031983;Uso e consumo;Caixa Off;TELEFONIA;B2W - Limite de Crédito;Cotação;;Boleto;Galaxy A23;;;VENDEDOR F
991490;EMPRESA 3311;08/02/2023;09/02/2023;22/02/2023;03/03/2023;1600;Fechada e Ganha;NV - 0031982;Uso e consumo;Caixa Off;ELETROPORTÁTEIS;;Cotação;;Boleto;sanduicheira / maquina wafle;;;VENDEDOR L
991488;EMPRESA 5492;08/02/2023;09/02/2023;;22/02/2023;115930,4;Fechada e Perdida;NV - 0031980;Uso e consumo;Caixa Off;TELEFONIA;Cliente - Desistência da compra;Cotação;;Boleto;74 Smartphone Moto G52/  Motorola Edge;;78;VENDEDOR E
991482;EMPRESA 5493;08/02/2023;09/02/2023;;13/02/2023;3500;Fechada e Perdida;NV - 0031976;Uso e consumo;Caixa Off;PCS;Cliente - Desistência da compra;Cotação;;Boleto;Notebook , Processador Core i5, 8GB;;;VENDEDOR E
991185;EMPRESA 2227;06/02/2023;09/02/2023;02/03/2023;03/03/2023;13500;Fechada e Ganha;NV - 0031930;Uso e consumo;Caixa Off;ELETRODOMESTICOS;;Cotação;;Boleto;geladeira 400l;;;VENDEDOR L
991166;EMPRESA 5494;06/02/2023;09/02/2023;;03/03/2023;2800;Fechada e Perdida;NV - 0031923;Uso e consumo;Caixa Off;ELETROPORTÁTEIS;Cliente - Não informado / sem retorno;Cotação;;Faturado;PURIFICADOR;;;VENDEDOR L
991594;;09/02/2023;09/02/2023;09/02/2023;09/02/2023;1074;Fechada e Ganha;NV - 0032006;;Caixa Off;PAPELARIA;;Cotação;;Faturado;;4063540231;6;VENDEDOR M
991092;EMPRESA 5478;06/02/2023;09/02/2023;;03/03/2023;3000;Fechada e Perdida;NV - 0031884;Uso e consumo;Caixa Off;TABLETS;Cliente - Não informado / sem retorno;Cotação;;Boleto;tablet;;;VENDEDOR L
991593;EMPRESA 5495;09/02/2023;09/02/2023;;02/03/2023;48899,85;Fechada e Perdida;NV - 0032005;Uso e consumo;Caixa Off;ELETRONICOS (TVs);B2W - Limite de Crédito;Cotação;;Boleto;"Smart TV 75/Smart TV 50"" /Smart Tv 43";;15;VENDEDOR E
991582;EMPRESA 4;09/02/2023;09/02/2023;09/02/2023;09/02/2023;350;Fechada e Perdida;NV - 0031998;Uso e consumo;Caixa Off;AUDIO;;Cotação;;Faturado;;;;VENDEDOR K
991578;EMPRESA 5496;09/02/2023;09/02/2023;28/02/2023;28/02/2023;19585,86;Fechada e Perdida;NV - 0031997;Uso e consumo;Caixa Off;TELEFONIA;Cliente - Desistência da compra;;;Boleto;Galaxy A32;;;VENDEDOR F
991631;EMPRESA 3663;09/02/2023;09/02/2023;02/03/2023;02/03/2023;646,92;Fechada e Perdida;NV - 0032019;Uso e consumo;Caixa Off;ELETROPORTÁTEIS;B2W - Limite de Crédito;;;;eletroportáteis (cafeteira, sanduicheira e outros).;;;VENDEDOR F
